Gene	WC1_INPUT	WC1_IP	WC2_INPUT	WC2_IP	WC3_INPUT	WC3_IP
Mon1a	5.506	6.981	7.103	9.429	7.074	11.271
Mon1b	12.51	6.36	10.651	7.7	11.453	10.348
Mon2	9.53	16.584	8.043	8.693	12.04	8.978
Morc2a	8.297	15.99	7.851	15.39	11.617	22.278
Morc3	6.282	7.399	6.072	4.268	6.311	4.771
Morc4	3.301	4.792	1.391	1.639	1.535	1.594
Morf4l1	346.885	214.958	323.672	246.588	232.674	152.98
Morf4l2	229.815	245.171	231.722	357.058	169.989	229.99
Morn2	39.355	15.058	37.846	41.073	17.475	39.766
Morn4	52.455	29.645	67.948	42.042	77.65	53.744
Mosc2	9.223	10.297	9.474	8.1	4.196	5.117
Mospd1	8.622	4.511	10.639	9.557	14.142	14.177
Mospd2	3.388	2.152	3.432	2.482	5.435	5.137
Mospd3	16.664	8.793	17.016	18.771	18.65	30.389
Mov10	1.488	2.78	1.429	1.06	1.002	1.699
Mpa2l	1.142	0.179	0.894	0.657	0.328	0.332
Mpdu1	14.933	7.578	13.83	13.511	5.681	6.389
Mpdz	3.89	9.11	3.986	4.093	5.96	5.389
Mpg	10.613	8.642	14.014	11.493	13.18	7.302
Mphosph10	8.399	7.226	9.358	9.084	11.853	8.839
Mphosph6	17.799	9.085	26.971	14.313	21.454	11.269
Mphosph8	42.359	47.626	54.141	46.084	53.69	33.906
Mphosph9	2.842	3.083	2.744	1.51	3.535	1.92
Mpi	23.467	20.282	23.292	22.154	21.677	16.941
Mpnd	42.627	35.789	66.121	90.405	49.586	58.608
Mpp1	23.814	32.485	24.043	35.774	22.399	24.375
Mpp2	22.464	24.864	23.446	19.945	35.823	19.947
Mpp3	10.436	6.806	8.597	8.254	8.799	9.03
Mpp5	36.025	31.216	29.497	21.893	39.06	22.702
Mpp6	25.744	17.285	39.28	21.564	54.527	31.072
Mpp7	3.251	3.069	3.605	3.582	6.157	3.627
Mppe1	4.098	5.097	6.866	3.99	11.364	5.66
Mpped1	9.653	7.435	12.47	9.577	8.838	7.415
Mpped2	25.475	17.432	36.677	43.577	44.662	72.055
Mprip	18.049	26.307	16.468	16.936	21.795	15.316
Mpst	2.415	1.169	2.03	0.839	0.527	0.177
Mpv17	66.65	24.209	52.067	22.206	40.707	19.255
Mpv17l	25.827	12.081	24.406	12.523	25.007	14.438
Mpv17l2	9.421	2.943	8.291	10.56	5.021	9.241
Mpzl1	5.655	5.399	4.775	11.461	5.481	12.798
Mpzl3	0.744	0.615	0.556	1.142	0.903	0.457
Mr1	1.929	0.399	0.855	0.432	1.064	0.837
Mrap2	28.004	15.162	22.472	12.446	15.259	11.852
Mras	34.394	28.606	28.439	22.842	32.352	23.922
Mrc2	0.206	0.456	0.362	0.202	0.413	0.312
Mre11a	1.964	2.363	2.398	3.219	3.954	2.318
Mreg	4.733	2.523	6.18	3.41	6.928	4.057
Mrfap1	842.487	481.532	944.3	794.983	550.823	513.632
Mrgprb1	0.798	0.159	0.57	0.305	0.806	0.306
Mrgpre	8.74	6.047	7.387	4.528	10.643	5.176
